ID,Exec. física_2025
CAIXA-1000759,0.8924
CAIXA-1000830,0.0985
CAIXA-1000891,0.2431
CAIXA-1000904,0.8454
CAIXA-1000912,0.8603
CAIXA-1000932,0.5316
CAIXA-1000953,0.6002
CAIXA-1001431,0.5941
CAIXA-1001668,0.5012
CAIXA-1001744,0.8145
CAIXA-1001800,0.5263
CAIXA-1002050,0.6736
CAIXA-1002051,0.6668
CAIXA-1002052,0.6654
CAIXA-1002115,0.6535
CAIXA-1002189,0.4394
CAIXA-1002195,0.7047
CAIXA-1002235,0.502
CAIXA-1002236,0.4846
CAIXA-1002284,0.5715
CAIXA-1002320,0.962
CAIXA-1002563,0.8127
CAIXA-1002658,0.5767
CAIXA-1002810,0.9791
CAIXA-1002998,0.9106
CAIXA-1003472,0.6282
CAIXA-1003474,0.535
CAIXA-1003477,0.7208
CAIXA-1003595,0.2185
CAIXA-1003721,0.8096
CAIXA-1003827,0.6099
CAIXA-1004132,0.8238
CAIXA-1004157,0.6353
CAIXA-1004160,0.5153
CAIXA-1004352,0.5286
CAIXA-1005371,0.5526
CAIXA-1006011,0.4269
CAIXA-1006138,0.6558
CAIXA-1006145,0.8995
CAIXA-1006238,0.8249
CAIXA-1006331,0.0083
CAIXA-1006334,0.081
CAIXA-1006353,0.9201
CAIXA-1006359,0.9028
CAIXA-1006696,0.3629
CAIXA-1006719,0.3878
CAIXA-1006726,0.3484
CAIXA-1006744,0.4735
CAIXA-1006983,0.2864
CAIXA-1006995,0.7479
CAIXA-1007076,0.041
CAIXA-1007775,0.7423
CAIXA-1008388,0.5085
CAIXA-1008699,0.9542
CAIXA-1008735,0.4205
CAIXA-1008748,0.6879
CAIXA-1008761,0.6247
CAIXA-1009101,0.836
CAIXA-1009827,0.0352
CAIXA-1010139,0.4009
CAIXA-1010297,0.5894
CAIXA-1010306,0.353
CAIXA-1010501,0.5578
CAIXA-1010772,0.7261
CAIXA-1011041,0.4157
CAIXA-1011128,0.9681
CAIXA-1011144,0.5528
CAIXA-1011406,0.4957
CAIXA-1011432,0.7437
CAIXA-1011614,0.916
CAIXA-1011858,0.5077
CAIXA-1012104,0.116
CAIXA-1012524,0.4705
CAIXA-1012574,0.8469
CAIXA-1012614,0.7574
CAIXA-1012990,0.6865
CAIXA-1013042,0.7272
CAIXA-1013240,0.4084
CAIXA-1013254,0.9969
CAIXA-1013264,0.2265
CAIXA-1013348,0.0006
CAIXA-1013360,0.8822
CAIXA-1013766,0.4324
CAIXA-1013770,0.6017
CAIXA-1013804,0.2248
CAIXA-1013845,0.4205
CAIXA-1014311,0.0061
CAIXA-1014315,0.4502
CAIXA-1014403,0.5977
CAIXA-1014408,0.6846
CAIXA-1014467,0.9665
CAIXA-1014543,0.6713
CAIXA-1014787,0.6734
CAIXA-1014987,0.8625
CAIXA-1015428,0.665
CAIXA-1015772,0.3906
CAIXA-1015869,0.4377
CAIXA-1015982,0.6035
CAIXA-1016941,0.9212
CAIXA-1016992,0.1791
CAIXA-1017002,0.215
CAIXA-1017729,0.3683
CAIXA-1017738,0.4932
CAIXA-1017808,0.2497
CAIXA-1017870,0.2933
CAIXA-1017914,0.8565
CAIXA-1018219,0.7855
CAIXA-1018447,0.4759
CAIXA-1018448,0.5612
CAIXA-1018497,0.3773
CAIXA-1018608,0.0
CAIXA-1019881,0.6568
CAIXA-1020457,0.884
CAIXA-1020861,0.4772
CAIXA-1021181,0.0
CAIXA-1021210,0.7594
CAIXA-1021265,0.8981
CAIXA-1021294,0.5323
CAIXA-1021545,0.5852
CAIXA-1022429,0.116
CAIXA-1022492,0.6145
CAIXA-1022553,0.8774
CAIXA-1022888,0.4971
CAIXA-1022959,0.5633
CAIXA-1023281,0.3679
CAIXA-1023570,0.8383
CAIXA-1024053,0.8238
CAIXA-1024089,0.5724
CAIXA-1024554,0.0415
CAIXA-1025182,0.5973
CAIXA-1025310,0.0359
CAIXA-1025438,0.9198
CAIXA-1025639,0.32
CAIXA-1026138,0.676
CAIXA-1026241,0.0081
CAIXA-1026349,0.2209
CAIXA-1026472,0.8723
CAIXA-1026936,0.7423
CAIXA-1027069,0.9739
CAIXA-1027113,0.9251
CAIXA-1027121,0.396
CAIXA-1027185,0.8785
CAIXA-1027369,0.7844
CAIXA-1027425,0.0359
CAIXA-1027517,0.3899
CAIXA-1027995,0.3278
CAIXA-1028057,0.4457
CAIXA-1028207,0.4616
CAIXA-1028260,0.5521
CAIXA-1028286,0.5396
CAIXA-1028399,0.8745
CAIXA-1028495,0.3336
CAIXA-1028525,0.8063
CAIXA-1028529,0.8648
CAIXA-1028905,0.0
CAIXA-1028968,0.088
CAIXA-1029217,0.6579
CAIXA-1030130,0.1884
CAIXA-1030585,0.5686
CAIXA-1030726,0.0
CAIXA-1030827,0.2673
CAIXA-1030892,0.49
CAIXA-1031471,0.0
