UF,Em execução,Paralisada,percentage_p,percentage_e,IDHM,label_hdi,range_hp,label_hp
ac,133,152,0.5333333333333333,0.4666666666666667,0.71,High,"(20.999, 153.8]",Very Low
al,257,256,0.49902534113060426,0.5009746588693957,0.684,Medium,"(233.8, 488.6]",Medium
am,296,438,0.5967302452316077,0.4032697547683924,0.7,High,"(233.8, 488.6]",Medium
ap,121,152,0.5567765567765568,0.4432234432234432,0.688,Medium,"(20.999, 153.8]",Very Low
ba,844,926,0.5231638418079096,0.4768361581920904,0.691,Medium,"(639.0, 1225.0]",Very High
ce,749,657,0.4672830725462304,0.5327169274537695,0.734,High,"(639.0, 1225.0]",Very High
df,79,21,0.21,0.79,0.814,Very High,"(20.999, 153.8]",Very Low
es,183,131,0.4171974522292994,0.5828025477707006,0.771,High,"(20.999, 153.8]",Very Low
go,411,424,0.5077844311377245,0.49221556886227547,0.737,High,"(233.8, 488.6]",Medium
ma,854,1225,0.5892255892255892,0.4107744107744108,0.676,Medium,"(639.0, 1225.0]",Very High
mg,972,874,0.4734561213434453,0.5265438786565547,0.774,High,"(639.0, 1225.0]",Very High
ms,277,165,0.3733031674208145,0.6266968325791855,0.742,High,"(153.8, 233.8]",Low
mt,205,214,0.5107398568019093,0.4892601431980907,0.736,High,"(153.8, 233.8]",Low
pa,469,889,0.654639175257732,0.34536082474226804,0.69,Medium,"(639.0, 1225.0]",Very High
pb,656,552,0.45695364238410596,0.543046357615894,0.698,Medium,"(488.6, 639.0]",High
pe,504,567,0.5294117647058824,0.47058823529411764,0.719,High,"(488.6, 639.0]",High
pi,545,503,0.4799618320610687,0.5200381679389313,0.69,Medium,"(488.6, 639.0]",High
pr,400,219,0.35379644588045234,0.6462035541195477,0.769,High,"(153.8, 233.8]",Low
rj,284,525,0.6489493201483313,0.3510506798516687,0.762,High,"(488.6, 639.0]",High
rn,391,508,0.5650723025583982,0.43492769744160176,0.728,High,"(488.6, 639.0]",High
ro,165,144,0.46601941747572817,0.5339805825242718,0.7,High,"(20.999, 153.8]",Very Low
rr,152,104,0.40625,0.59375,0.699,Medium,"(20.999, 153.8]",Very Low
rs,786,467,0.37270550678371905,0.627294493216281,0.771,High,"(233.8, 488.6]",Medium
sc,321,169,0.3448979591836735,0.6551020408163265,0.792,High,"(153.8, 233.8]",Low
se,154,161,0.5111111111111111,0.4888888888888889,0.702,High,"(153.8, 233.8]",Low
sp,683,698,0.5054308472121651,0.4945691527878349,0.806,Very High,"(639.0, 1225.0]",Very High
to,247,328,0.5704347826086956,0.4295652173913043,0.731,High,"(233.8, 488.6]",Medium
