UF,ano_2025,ano_2024,ano_2023,ano_2022,Posição IDHM,IDHM,growth_decline,percent_2025,label
MA,1225,1232,879,905,27,0.676,0.35359116022099446,0.14122665436937976,Medium HDI
BA,926,972,840,807,22,0.691,0.14745972738537794,0.10675582199677196,Medium HDI
PA,889,938,674,671,23,0.69,0.32488822652757077,0.10249020059949274,Medium HDI
MG,874,895,628,657,4,0.774,0.3302891933028919,0.10076089462762278,High HDI
SP,698,727,343,389,2,0.806,0.794344473007712,0.08047037122434862,Very High HDI
CE,657,717,574,577,12,0.734,0.1386481802426343,0.07574360156790408,High HDI
PE,567,624,405,419,15,0.719,0.3532219570405728,0.06536776573668435,High HDI
PB,552,502,406,436,21,0.698,0.26605504587155965,0.06363845976481439,Medium HDI
RJ,525,565,200,221,8,0.762,1.3755656108597285,0.060525709015448466,High HDI
RN,508,478,336,304,14,0.728,0.6710526315789473,0.05856582891399585,High HDI
PI,503,501,337,298,23,0.69,0.6879194630872483,0.0579893935900392,Medium HDI
RS,467,439,347,343,5,0.771,0.36151603498542273,0.0538390592575513,High HDI
AM,438,452,304,292,18,0.7,0.5,0.05049573437860272,High HDI
GO,424,484,458,484,10,0.737,-0.12396694214876033,0.0488817154715241,High HDI
TO,328,321,291,279,13,0.731,0.17562724014336917,0.037814157251556374,High HDI
AL,256,300,209,237,26,0.684,0.08016877637130802,0.029513488586580587,Medium HDI
PR,219,241,210,225,7,0.769,-0.02666666666666667,0.02524786718930136,High HDI
MT,214,225,178,193,11,0.736,0.10880829015544041,0.02467143186534471,High HDI
SC,169,185,176,196,3,0.792,-0.1377551020408163,0.01948351394973484,High HDI
MS,165,143,152,146,9,0.742,0.13013698630136986,0.019022365690569518,High HDI
SE,161,183,185,186,17,0.702,-0.13440860215053763,0.018561217431404195,High HDI
AC,152,136,94,79,16,0.71,0.9240506329113924,0.017523633848282223,High HDI
AP,152,162,104,78,25,0.688,0.9487179487179487,0.017523633848282223,Medium HDI
RO,144,142,109,96,18,0.7,0.5,0.01660133732995158,High HDI
ES,131,150,86,84,5,0.771,0.5595238095238095,0.015102605487664284,High HDI
RR,104,112,57,48,20,0.699,1.1666666666666667,0.011989854738298363,Medium HDI
DF,21,10,21,24,1,0.814,-0.125,0.0024210283606179387,Very High HDI
